Starting Training Loop...
[0/100][0/13]	Loss_D: 1.4018	Loss_G: 5.2088	D(x): 0.5580	D(G(z)): 0.4341 / 0.0068
[1/100][0/13]	Loss_D: 0.0378	Loss_G: 7.7296	D(x): 0.9726	D(G(z)): 0.0050 / 0.0008
[2/100][0/13]	Loss_D: 0.8856	Loss_G: 18.0937	D(x): 0.5386	D(G(z)): 0.0000 / 0.0000
[3/100][0/13]	Loss_D: 3.9915	Loss_G: 12.7240	D(x): 0.0958	D(G(z)): 0.0000 / 0.0000
[4/100][0/13]	Loss_D: 0.7623	Loss_G: 16.5246	D(x): 0.9910	D(G(z)): 0.4813 / 0.0000
[5/100][0/13]	Loss_D: 0.4079	Loss_G: 12.0261	D(x): 0.7521	D(G(z)): 0.0004 / 0.0000
[6/100][0/13]	Loss_D: 0.4610	Loss_G: 3.7943	D(x): 0.7576	D(G(z)): 0.0374 / 0.0685
[7/100][0/13]	Loss_D: 1.2965	Loss_G: 1.8540	D(x): 0.4122	D(G(z)): 0.0631 / 0.1833
[8/100][0/13]	Loss_D: 0.5700	Loss_G: 3.8927	D(x): 0.8269	D(G(z)): 0.2796 / 0.0273
[9/100][0/13]	Loss_D: 0.5628	Loss_G: 4.3861	D(x): 0.8878	D(G(z)): 0.3286 / 0.0164
[10/100][0/13]	Loss_D: 0.3251	Loss_G: 3.5019	D(x): 0.9040	D(G(z)): 0.1905 / 0.0349
[11/100][0/13]	Loss_D: 0.4793	Loss_G: 5.7452	D(x): 0.9415	D(G(z)): 0.3221 / 0.0043
[12/100][0/13]	Loss_D: 0.2875	Loss_G: 3.9018	D(x): 0.8265	D(G(z)): 0.0773 / 0.0274
[13/100][0/13]	Loss_D: 0.2494	Loss_G: 3.3643	D(x): 0.8365	D(G(z)): 0.0513 / 0.0401
[14/100][0/13]	Loss_D: 0.3453	Loss_G: 3.8910	D(x): 0.7737	D(G(z)): 0.0596 / 0.0258
[15/100][0/13]	Loss_D: 0.2942	Loss_G: 4.5211	D(x): 0.8645	D(G(z)): 0.1257 / 0.0130
[16/100][0/13]	Loss_D: 0.9544	Loss_G: 10.3508	D(x): 0.9369	D(G(z)): 0.5256 / 0.0001
[17/100][0/13]	Loss_D: 0.2929	Loss_G: 3.4386	D(x): 0.8019	D(G(z)): 0.0191 / 0.0546
[18/100][0/13]	Loss_D: 0.7587	Loss_G: 4.4184	D(x): 0.8014	D(G(z)): 0.3654 / 0.0218
[19/100][0/13]	Loss_D: 1.4317	Loss_G: 1.3568	D(x): 0.2994	D(G(z)): 0.0242 / 0.3131
[20/100][0/13]	Loss_D: 0.6096	Loss_G: 4.9664	D(x): 0.9076	D(G(z)): 0.3713 / 0.0101
[21/100][0/13]	Loss_D: 1.5056	Loss_G: 6.6461	D(x): 0.9689	D(G(z)): 0.7374 / 0.0021
[22/100][0/13]	Loss_D: 0.7265	Loss_G: 2.2836	D(x): 0.5573	D(G(z)): 0.0459 / 0.1285
[23/100][0/13]	Loss_D: 0.4362	Loss_G: 4.2212	D(x): 0.8656	D(G(z)): 0.2255 / 0.0202
[24/100][0/13]	Loss_D: 0.4276	Loss_G: 4.0325	D(x): 0.8683	D(G(z)): 0.2242 / 0.0232
[25/100][0/13]	Loss_D: 1.1298	Loss_G: 2.8239	D(x): 0.3829	D(G(z)): 0.0065 / 0.1026
[26/100][0/13]	Loss_D: 1.0435	Loss_G: 2.6454	D(x): 0.4256	D(G(z)): 0.0077 / 0.1068
[27/100][0/13]	Loss_D: 0.6216	Loss_G: 7.8359	D(x): 0.9477	D(G(z)): 0.4002 / 0.0006
[28/100][0/13]	Loss_D: 0.6362	Loss_G: 2.4088	D(x): 0.6222	D(G(z)): 0.0401 / 0.1149
[29/100][0/13]	Loss_D: 0.4668	Loss_G: 5.5269	D(x): 0.9072	D(G(z)): 0.2841 / 0.0053
[30/100][0/13]	Loss_D: 0.2593	Loss_G: 4.9750	D(x): 0.9293	D(G(z)): 0.1586 / 0.0085
[31/100][0/13]	Loss_D: 0.2467	Loss_G: 3.8312	D(x): 0.9890	D(G(z)): 0.1905 / 0.0320
[32/100][0/13]	Loss_D: 0.4550	Loss_G: 4.4459	D(x): 0.8920	D(G(z)): 0.2445 / 0.0201
[33/100][0/13]	Loss_D: 0.4975	Loss_G: 2.0833	D(x): 0.6590	D(G(z)): 0.0305 / 0.1734
[34/100][0/13]	Loss_D: 1.6682	Loss_G: 3.4681	D(x): 0.2849	D(G(z)): 0.0008 / 0.0482
[35/100][0/13]	Loss_D: 0.3379	Loss_G: 3.2908	D(x): 0.8309	D(G(z)): 0.1229 / 0.0470
[36/100][0/13]	Loss_D: 0.3091	Loss_G: 5.0516	D(x): 0.9316	D(G(z)): 0.1921 / 0.0104
[37/100][0/13]	Loss_D: 0.5018	Loss_G: 2.8763	D(x): 0.6659	D(G(z)): 0.0279 / 0.0814
[38/100][0/13]	Loss_D: 0.1726	Loss_G: 3.7154	D(x): 0.9430	D(G(z)): 0.0945 / 0.0605
[39/100][0/13]	Loss_D: 0.4041	Loss_G: 4.1255	D(x): 0.9148	D(G(z)): 0.2313 / 0.0239
